WARNING 2025-10-13 07:05:19,998 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:05:20,001 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
INFO 2025-10-13 07:05:20,003 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
WARNING 2025-10-13 07:05:20,024 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:05:20,031 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
INFO 2025-10-13 07:05:23,303 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 200 547
INFO 2025-10-13 07:05:35,435 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 200 547
INFO 2025-10-13 07:09:52,880 autoreload C:\Users\safat\OneDrive - Bitopi Group\Desktop\django_mis_project\intelligent_import\views.py changed, reloading.
INFO 2025-10-13 07:09:56,403 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 07:10:15,519 autoreload C:\Users\safat\OneDrive - Bitopi Group\Desktop\django_mis_project\intelligent_import\views.py changed, reloading.
INFO 2025-10-13 07:10:18,826 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 07:10:26,546 autoreload C:\Users\safat\OneDrive - Bitopi Group\Desktop\django_mis_project\intelligent_import\urls.py changed, reloading.
INFO 2025-10-13 07:10:30,150 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 07:11:11,562 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44878
INFO 2025-10-13 07:11:11,620 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:11:11,625 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:11:11,627 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:11:11,628 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:11:11,632 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:11:11,636 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:11:11,641 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:11:11,647 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:11:11,650 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:11:11,654 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:11:11,656 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:11:11,656 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 48827
